model,pi,dose,lambda_hat,eps_hat_spillover,coverage_without_spillover,coverage_with_spillover
logreg,0.05,4,0.065,0.0089,0.6666666666666666,1.0
logreg,0.1,4,0.072,0.0122,0.3333333333333333,1.0
logreg,0.2,4,0.077,0.0146,0.3333333333333333,1.0
logreg,0.1,1,0.019,0.0033,0.3333333333333333,1.0
logreg,0.1,16,0.225,0.0393,0.3333333333333333,1.0
mlp,0.05,4,1.0,0.1434,0.6666666666666666,1.0
