model_a,model_b,margin,gamma_star,robust_at_ref,pi,lam_ref,rho,m_draws,regime,gamma_star_display
m1,m2_contam,0.061045334543212926,0.3449859619140625,True,0.2,0.25,0.0,1,sharp,0.345
m2_contam,m3,0.02913913479260033,0.17342853546142578,False,0.2,0.25,0.0,1,sharp,0.173
m3,m4,0.05367360504782759,0.29393768310546875,True,0.2,0.25,0.0,1,sharp,0.294
m4,m5,0.07309425419884519,0.3926382064819336,True,0.2,0.25,0.0,1,sharp,0.393
m5,m6,0.11552675965368231,0.6249923706054688,True,0.2,0.25,0.0,1,sharp,0.625
