lam_true,pi_true,coverage_at_0.5x,coverage_at_truth,coverage_at_1.5x,mean_width_at_truth,mean_true_bias,sharpness_ratio
0.1,0.1,0.294,1.0,1.0,0.00925509355100304,0.002500262809783649,0.2701499229591988
0.2,0.1,0.336,1.0,1.0,0.01897801196703929,0.00500503119595323,0.2637278975609189
0.3,0.2,0.21,1.0,1.0,0.055126852782853134,0.014957405664914419,0.2713270377293664
0.5,0.3,0.104,1.0,1.0,0.13480946744151923,0.03751830434749968,0.27830615356280697
