model,pi,dose,mix,n_leaked,mean_lift_leaked,lambda_q95,violation_rate,spillover_eps,spillover_net,envelope_headroom_corr
Qwen/Qwen2.5-1.5B,0.1,1,0,90,0.0029173180564410267,0.5827772823179201,0.4111111111111111,0.05987199071856884,-0.008567982863676252,0.5965003838820392
Qwen/Qwen2.5-1.5B,0.1,1,4,90,-0.012486185764686923,0.3773375607960073,0.4888888888888889,0.05319079951182482,-0.015663285291092358,0.545377764438287
Qwen/Qwen2.5-1.5B,0.1,1,20,90,0.0051493346484171075,0.345749258602136,0.36666666666666664,0.05558183737191303,-0.011674562996600477,0.6925329546899409
Qwen/Qwen2.5-1.5B,0.1,4,0,90,0.06207425641930767,0.7297454138656438,0.17777777777777778,0.0730354716694211,0.010764824687160465,0.8178925464151063
Qwen/Qwen2.5-1.5B,0.1,4,4,90,0.0861449987317125,0.8711028716227223,0.16666666666666666,0.08343364561238738,0.020900921437759352,0.7966978385195026
Qwen/Qwen2.5-1.5B,0.1,4,20,90,0.21129440621783335,0.975847024321205,0.03333333333333333,0.12437895815205285,0.026307156222495336,0.9387148675364169
