n_items,n_leaked,mean_lift_leaked,lambda_q95,lambda_max,violation_rate,spillover_eps,spillover_net,envelope_headroom_corr,model,pi,dose,covers_clean_crossconfig
905,45,-0.0074507939732736984,0.2501417536922818,0.39667331214279133,0.4444444444444444,0.041584142710983776,-0.013205709720644991,0.08232647393103065,Qwen/Qwen2.5-0.5B,0.05,1,1
905,45,0.04835007728801833,0.5581898038586417,0.6726542853080811,0.17777777777777778,0.061783753276929844,-0.008656628342510504,0.6349007108149014,Qwen/Qwen2.5-0.5B,0.05,4,1
905,45,0.4385790478024218,0.9999972190422667,0.9999988925232579,0.0,0.24838450550400962,0.04692269095180311,0.9997246234914352,Qwen/Qwen2.5-0.5B,0.05,16,1
905,90,-0.007006538734357388,0.16537272937547973,0.28560408933054515,0.5,0.056479482400085365,-0.026203965419186338,0.8131154480929823,Qwen/Qwen2.5-0.5B,0.1,1,1
905,90,0.07000981781166048,0.734709296312877,0.8360172856130593,0.2111111111111111,0.08382025950729699,-0.015504020699114178,0.7662373709094449,Qwen/Qwen2.5-0.5B,0.1,4,1
905,90,0.5135335568830164,1.0,1.0,0.0,0.28861612957654204,0.0098309105570933,0.9983177269208968,Qwen/Qwen2.5-0.5B,0.1,16,1
905,226,-0.028998118897630067,0.1377475200804597,0.22663050270713705,0.5398230088495575,0.07677982474090216,-0.039968262059992626,0.9855103398711252,Qwen/Qwen2.5-0.5B,0.25,1,1
905,226,0.10247683671557559,0.8623075064061373,0.9610012790511205,0.23008849557522124,0.1223232791140478,-0.019371257185529976,0.9121559517404929,Qwen/Qwen2.5-0.5B,0.25,4,1
905,226,0.5558487203080862,1.0,1.0,0.008849557522123894,0.28703267420277834,0.042974520135618234,0.9990390871495232,Qwen/Qwen2.5-0.5B,0.25,16,1
905,452,-0.014425233808635586,0.196368576588278,0.584161073951021,0.47345132743362833,0.07426496633075622,-0.025121998904318144,0.8583425256026288,Qwen/Qwen2.5-0.5B,0.5,1,1
905,452,0.18768415174411457,0.9729334408796977,0.997483702676809,0.16150442477876106,0.1439442319864105,0.020992308302148235,0.9982974517278258,Qwen/Qwen2.5-0.5B,0.5,4,1
905,452,0.5385346779133867,1.0,1.0,0.0,0.3029156727799711,0.058728478501372305,0.9991999009896319,Qwen/Qwen2.5-0.5B,0.5,16,0
905,45,-0.006983284072743529,0.5141037234830134,0.845407429377938,0.4,0.04533592153500988,0.00890725768353319,0.2777381113465232,Qwen/Qwen2.5-1.5B,0.05,1,1
905,45,0.03082587131195599,0.5284662675712833,0.5692022083046802,0.3111111111111111,0.059460858656682325,-0.004858880901206988,0.9946580164541071,Qwen/Qwen2.5-1.5B,0.05,4,1
905,45,0.3399789466626114,0.9999949558874528,0.9999978516242172,0.0,0.2034817176257882,0.05428859190215789,0.9920253630848215,Qwen/Qwen2.5-1.5B,0.05,16,1
905,90,0.013139180062959596,0.5494813435127864,0.6281852937628815,0.3111111111111111,0.05147475854752934,-0.0029100736143550248,0.48629415549776767,Qwen/Qwen2.5-1.5B,0.1,1,1
905,90,0.05324837501264282,0.7368819073186885,0.9441396887996157,0.17777777777777778,0.06632334025772403,0.00783011532407197,0.8009846000514057,Qwen/Qwen2.5-1.5B,0.1,4,1
905,90,0.37550618406385183,1.0,1.0,0.0,0.22376132769356258,0.054961232707026346,0.9940444498344264,Qwen/Qwen2.5-1.5B,0.1,16,1
905,226,-0.02618139626628789,0.30057670500102646,0.6218936525377318,0.5619469026548672,0.08131456803304139,-0.03520910515153673,0.9473086897666619,Qwen/Qwen2.5-1.5B,0.25,1,1
905,226,0.11608306072825933,0.8292710555342185,0.9494054728073218,0.17699115044247787,0.09699277435251084,0.018466048322917022,0.9667709870804778,Qwen/Qwen2.5-1.5B,0.25,4,1
905,226,0.4145120085621164,1.0,1.0,0.0,0.23668912308778084,0.07098436282619283,0.9872014363513818,Qwen/Qwen2.5-1.5B,0.25,16,0
905,452,-0.0025368409549515578,0.415529703319053,0.7974955554040518,0.4269911504424779,0.06887899303375014,-0.009461572213369783,0.9350062226634372,Qwen/Qwen2.5-1.5B,0.5,1,1
905,452,0.23441595654911207,0.9871305973096561,0.9990629938141724,0.03761061946902655,0.14129245350760292,0.040376150107348366,0.995807799602134,Qwen/Qwen2.5-1.5B,0.5,4,1
905,452,0.408009792627384,0.9999992401859289,1.0,0.0,0.22868565730597673,0.05614100589958375,0.9905549667856665,Qwen/Qwen2.5-1.5B,0.5,16,0
