lam,m_draws,rel_bias_mean,rel_bias_sd,coverage,coverage_simple
0.1,2,-0.4017123955009102,0.003195072012243235,0.9933333333333333,1.0
0.1,5,-0.04278035686697899,0.0050323516404167466,1.0,1.0
0.1,10,0.04061598474635165,0.007366921289135912,1.0,1.0
0.1,20,0.019918304548115297,0.005281503836169095,1.0,1.0
0.1,50,0.005346023049141928,0.004730691374353982,1.0,1.0
0.3,2,-0.2564841452033267,0.0024176927465681505,1.0,1.0
0.3,5,-0.10790495276339311,0.002674106176928798,1.0,1.0
0.3,10,0.04085295867233609,0.003431189629308437,1.0,1.0
0.3,20,0.010543297311170029,0.00463183565857329,1.0,1.0
0.3,50,0.0006138246370648914,0.003877591096758363,1.0,1.0
0.6,2,-0.13656273872813773,0.0024376389092925074,1.0,1.0
0.6,5,0.03614606239614094,0.002852101233150748,1.0,1.0
0.6,10,0.03646341492995325,0.0029520225952953763,1.0,1.0
0.6,20,0.006843009197338924,0.004866139644649106,1.0,1.0
0.6,50,0.0005749591618254942,0.0036111604266412206,1.0,1.0
